ID;Centers;Distance;TotalCluster_Charles;Iterations_Charles;Jaccard_Charles;Rand_Charles;TotalCluster_Hanam;Iterations_Hanam;Jaccard_Hanam;Rand_Hanam;Has_Result_Diff
6;7;euclidean;7;29;0.25;0.713846153846154;7;31;0.277310924369748;0.735384615384615;TRUE
34;7;euclidean;7;59;0.277310924369748;0.735384615384615;7;31;0.277310924369748;0.735384615384615;FALSE
62;7;euclidean;7;25;0.277310924369748;0.735384615384615;7;24;0.302521008403361;0.744615384615385;TRUE
90;7;euclidean;7;23;0.302521008403361;0.744615384615385;7;37;0.277310924369748;0.735384615384615;TRUE
118;7;euclidean;7;16;0.380165289256198;0.769230769230769;7;48;0.282051282051282;0.741538461538462;TRUE
146;7;euclidean;7;34;0.282051282051282;0.741538461538462;7;32;0.333333333333333;0.735384615384615;TRUE
174;7;euclidean;7;25;0.277310924369748;0.735384615384615;7;61;0.282051282051282;0.741538461538462;TRUE
202;7;euclidean;7;69;0.5;0.821538461538462;7;26;0.327586206896552;0.76;TRUE
230;7;euclidean;7;41;0.277310924369748;0.735384615384615;7;16;0.684210526315789;0.889230769230769;TRUE
258;7;euclidean;7;31;0.327586206896552;0.76;7;57;0.470588235294118;0.806153846153846;TRUE
20;7;manhattan;7;0;0.496350364963504;0.787692307692308;7;0;0.266666666666667;0.695384615384615;TRUE
48;7;manhattan;7;0;0.338129496402878;0.716923076923077;7;0;0.608695652173913;0.861538461538462;TRUE
76;7;manhattan;7;0;0.251533742331288;0.624615384615385;7;0;0.35042735042735;0.766153846153846;TRUE
104;7;manhattan;7;1;0.4;0.649230769230769;7;0;0.508333333333333;0.818461538461538;TRUE
132;7;manhattan;7;0;0.423076923076923;0.723076923076923;7;0;0.361290322580645;0.695384615384615;TRUE
160;7;manhattan;7;1;0.236994219653179;0.593846153846154;7;0;0.493670886075949;0.753846153846154;TRUE
188;7;manhattan;7;1;0.302083333333333;0.587692307692308;7;0;0.420689655172414;0.741538461538462;TRUE
216;7;manhattan;7;0;0.477987421383648;0.744615384615385;7;0;0.419117647058824;0.756923076923077;TRUE
244;7;manhattan;7;0;0.321637426900585;0.643076923076923;7;0;0.377777777777778;0.741538461538462;TRUE
272;7;manhattan;7;0;0.222222222222222;0.676923076923077;7;0;0.684210526315789;0.889230769230769;TRUE
7;8;euclidean;8;24;0.260504201680672;0.729230769230769;8;49;0.260504201680672;0.729230769230769;FALSE
35;8;euclidean;8;34;0.260504201680672;0.729230769230769;8;74;0.229508196721311;0.710769230769231;TRUE
63;8;euclidean;8;94;0.342105263157895;0.769230769230769;8;56;0.226890756302521;0.716923076923077;TRUE
91;8;euclidean;8;25;0.260504201680672;0.729230769230769;8;31;0.260504201680672;0.729230769230769;FALSE
119;8;euclidean;8;33;0.243697478991597;0.723076923076923;8;30;0.275862068965517;0.741538461538462;TRUE
147;8;euclidean;8;20;0.255813953488372;0.704615384615385;8;24;0.231404958677686;0.713846153846154;TRUE
175;8;euclidean;8;53;0.260504201680672;0.729230769230769;8;30;0.260504201680672;0.729230769230769;FALSE
203;8;euclidean;8;41;0.226890756302521;0.716923076923077;8;18;0.310344827586207;0.753846153846154;TRUE
231;8;euclidean;8;28;0.34453781512605;0.76;8;31;0.310344827586207;0.753846153846154;TRUE
259;8;euclidean;8;48;0.258620689655172;0.735384615384615;8;100;0.235294117647059;0.72;TRUE
21;8;manhattan;8;0;0.21978021978022;0.563076923076923;8;1;0.536231884057971;0.803076923076923;TRUE
49;8;manhattan;8;0;0.411290322580645;0.775384615384615;8;0;0.310344827586207;0.753846153846154;TRUE
