"","ID","Epsilon","MinPts","TotalCluster_Charles","TotalOutliers_Charles","Jaccard_Charles","Rand_Charles","TotalOutliers_Hanam","TotalCluster_Hanam","Jaccard_Hanam","Rand_Hanam","dirf_Charles_Vs_Hanam"
"184",184,1.9,14,1,9,0.389162561576355,0.618461538461539,9,1,0.389162561576355,0.618461538461539,TRUE
"185",185,1.9,15,1,9,0.389162561576355,0.618461538461539,9,1,0.389162561576355,0.618461538461539,TRUE
"186",186,1.9,16,1,9,0.389162561576355,0.618461538461539,9,1,0.389162561576355,0.618461538461539,TRUE
"187",187,1.9,17,1,9,0.389162561576355,0.618461538461539,9,1,0.389162561576355,0.618461538461539,TRUE
"188",188,1.9,18,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"189",189,1.9,19,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"190",190,1.9,20,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"191",191,2.1,2,1,4,0.33976833976834,0.473846153846154,4,1,0.33976833976834,0.473846153846154,TRUE
"192",192,2.1,3,1,4,0.33976833976834,0.473846153846154,4,1,0.33976833976834,0.473846153846154,TRUE
"193",193,2.1,4,1,4,0.33976833976834,0.473846153846154,4,1,0.33976833976834,0.473846153846154,TRUE
"194",194,2.1,5,1,4,0.33976833976834,0.473846153846154,4,1,0.33976833976834,0.473846153846154,TRUE
"195",195,2.1,6,1,4,0.33976833976834,0.473846153846154,4,1,0.33976833976834,0.473846153846154,TRUE
"196",196,2.1,7,1,5,0.363636363636364,0.526153846153846,5,1,0.363636363636364,0.526153846153846,TRUE
"197",197,2.1,8,1,5,0.363636363636364,0.526153846153846,5,1,0.363636363636364,0.526153846153846,TRUE
"198",198,2.1,9,1,5,0.363636363636364,0.526153846153846,5,1,0.363636363636364,0.526153846153846,TRUE
"199",199,2.1,10,1,5,0.363636363636364,0.526153846153846,5,1,0.363636363636364,0.526153846153846,TRUE
"200",200,2.1,11,1,5,0.363636363636364,0.526153846153846,5,1,0.363636363636364,0.526153846153846,TRUE
"201",201,2.1,12,1,5,0.363636363636364,0.526153846153846,5,1,0.363636363636364,0.526153846153846,TRUE
"202",202,2.1,13,1,5,0.363636363636364,0.526153846153846,5,1,0.363636363636364,0.526153846153846,TRUE
"203",203,2.1,14,1,5,0.363636363636364,0.526153846153846,5,1,0.363636363636364,0.526153846153846,TRUE
"204",204,2.1,15,1,5,0.363636363636364,0.526153846153846,5,1,0.363636363636364,0.526153846153846,TRUE
"205",205,2.1,16,1,5,0.363636363636364,0.526153846153846,5,1,0.363636363636364,0.526153846153846,TRUE
"206",206,2.1,17,1,6,0.381578947368421,0.566153846153846,6,1,0.381578947368421,0.566153846153846,TRUE
"207",207,2.1,18,1,6,0.381578947368421,0.566153846153846,6,1,0.381578947368421,0.566153846153846,TRUE
"208",208,2.1,19,1,6,0.381578947368421,0.566153846153846,6,1,0.381578947368421,0.566153846153846,TRUE
"209",209,2.1,20,1,6,0.381578947368421,0.566153846153846,6,1,0.381578947368421,0.566153846153846,TRUE
"210",210,2.3,2,1,4,0.33976833976834,0.473846153846154,4,1,0.33976833976834,0.473846153846154,TRUE
"211",211,2.3,3,1,4,0.33976833976834,0.473846153846154,4,1,0.33976833976834,0.473846153846154,TRUE
"212",212,2.3,4,1,4,0.33976833976834,0.473846153846154,4,1,0.33976833976834,0.473846153846154,TRUE
"213",213,2.3,5,1,4,0.33976833976834,0.473846153846154,4,1,0.33976833976834,0.473846153846154,TRUE
"214",214,2.3,6,1,4,0.33976833976834,0.473846153846154,4,1,0.33976833976834,0.473846153846154,TRUE
"215",215,2.3,7,1,4,0.33976833976834,0.473846153846154,4,1,0.33976833976834,0.473846153846154,TRUE
"216",216,2.3,8,1,4,0.33976833976834,0.473846153846154,4,1,0.33976833976834,0.473846153846154,TRUE
"217",217,2.3,9,1,4,0.33976833976834,0.473846153846154,4,1,0.33976833976834,0.473846153846154,TRUE
"218",218,2.3,10,1,4,0.33976833976834,0.473846153846154,4,1,0.33976833976834,0.473846153846154,TRUE
"219",219,2.3,11,1,4,0.33976833976834,0.473846153846154,4,1,0.33976833976834,0.473846153846154,TRUE
"220",220,2.3,12,1,4,0.33976833976834,0.473846153846154,4,1,0.33976833976834,0.473846153846154,TRUE
"221",221,2.3,13,1,4,0.33976833976834,0.473846153846154,4,1,0.33976833976834,0.473846153846154,TRUE
"222",222,2.3,14,1,4,0.33976833976834,0.473846153846154,4,1,0.33976833976834,0.473846153846154,TRUE
"223",223,2.3,15,1,4,0.33976833976834,0.473846153846154,4,1,0.33976833976834,0.473846153846154,TRUE
"224",224,2.3,16,1,4,0.33976833976834,0.473846153846154,4,1,0.33976833976834,0.473846153846154,TRUE
"225",225,2.3,17,1,5,0.363636363636364,0.526153846153846,5,1,0.363636363636364,0.526153846153846,TRUE
"226",226,2.3,18,1,5,0.363636363636364,0.526153846153846,5,1,0.363636363636364,0.526153846153846,TRUE
"227",227,2.3,19,1,5,0.363636363636364,0.526153846153846,5,1,0.363636363636364,0.526153846153846,TRUE
"228",228,2.3,20,1,5,0.363636363636364,0.526153846153846,5,1,0.363636363636364,0.526153846153846,TRUE
"229",229,2.5,2,1,3,0.381132075471698,0.495384615384615,2,1,0.362676056338028,0.443076923076923,FALSE
"230",230,2.5,3,1,3,0.381132075471698,0.495384615384615,2,1,0.362676056338028,0.443076923076923,FALSE
"231",231,2.5,4,1,3,0.381132075471698,0.495384615384615,2,1,0.362676056338028,0.443076923076923,FALSE
