"","ID","Centers","NumbTest","TotalCluster_Charles","TotalSumSquares_Charles","TotalwithinClusterSumSquares_Charles","TotalBetweenClusterSumSquares_Charles","Iterations_Charles","FaultInAlgorithm_Charles","Jaccard_Charles","Rand_Charles","TotalCluster_Hanam","TotalSumSquares_Hanam","TotalwithinClusterSumSquares_Hanam","TotalBetweenClusterSumSquares_Hanam","Iterations_Hanam","FaultInAlgorithm_Hanam","Jaccard_Hanam","Rand_Hanam","Has_Result_Diff"
"22",22,9,2,9,118.884615384615,15.8333333333333,103.051282051282,2,0,0.356521739130435,0.772307692307692,9,117.923076923077,12.5333333333333,105.389743589744,2,0,0.491228070175439,0.821538461538462,TRUE
"23",23,10,2,10,118.884615384615,10.5555555555556,108.32905982906,2,0,0.412280701754386,0.793846153846154,10,117.923076923077,14,103.923076923077,3,0,0.315789473684211,0.76,TRUE
"24",24,11,2,11,118.884615384615,8.55555555555556,110.32905982906,2,0,0.403508771929825,0.790769230769231,11,117.923076923077,7.5,110.423076923077,1,0,0.254385964912281,0.738461538461539,TRUE
"25",25,12,2,12,118.884615384615,8.92857142857143,109.956043956044,3,0,0.280701754385965,0.747692307692308,12,117.923076923077,8.09523809523809,109.827838827839,2,0,0.289473684210526,0.750769230769231,TRUE
"26",26,13,2,13,118.884615384615,5,113.884615384615,2,0,0.236842105263158,0.732307692307692,13,117.923076923077,5.13333333333333,112.789743589744,2,0,0.192982456140351,0.716923076923077,TRUE
"27",27,14,2,14,118.884615384615,4.63333333333333,114.251282051282,2,0,0.184210526315789,0.713846153846154,14,117.923076923077,4.66666666666667,113.25641025641,2,0,0.219298245614035,0.726153846153846,TRUE
"28",28,15,2,15,118.884615384615,4.3,114.584615384615,2,0,0.166666666666667,0.707692307692308,15,117.923076923077,3.3,114.623076923077,2,0,0.166666666666667,0.707692307692308,FALSE
"29",29,2,3,2,118.884615384615,85.2800000000001,33.6046153846153,1,0,0.348684210526316,0.390769230769231,2,117.923076923077,84.3200000000001,33.6030769230768,1,0,0.348684210526316,0.390769230769231,FALSE
"30",30,3,3,3,118.884615384615,68.8636363636359,50.0209790209795,1,0,0.445378151260504,0.593846153846154,3,117.923076923077,68.1969696969693,49.7261072261076,1,0,0.445378151260504,0.593846153846154,FALSE
"31",31,4,3,4,118.884615384615,56.315789473684,62.5688259109314,2,0,0.447761194029851,0.658461538461538,4,117.923076923077,53.6666666666666,64.2564102564103,2,0,0.588571428571429,0.778461538461538,TRUE
"32",32,5,3,5,118.884615384615,45.7549019607842,73.1297134238311,2,0,0.526315789473684,0.750769230769231,5,117.923076923077,42.9775641025641,74.9455128205128,3,0,0.697674418604651,0.88,TRUE
"33",33,6,3,6,118.884615384615,30.1025641025641,88.7820512820513,2,0,0.789473684210526,0.926153846153846,6,117.923076923077,29.6363636363636,88.2867132867133,2,0,0.5,0.790769230769231,TRUE
"34",34,7,3,7,118.884615384615,22.0833333333333,96.801282051282,2,0,0.684210526315789,0.889230769230769,7,117.923076923077,22.7777777777778,95.1452991452991,3,0,0.473684210526316,0.815384615384615,TRUE
"35",35,8,3,8,118.884615384615,19.4444444444444,99.4401709401709,3,0,0.456140350877193,0.809230769230769,8,117.923076923077,20.1969696969697,97.7261072261072,3,0,0.578947368421053,0.852307692307692,TRUE
"36",36,9,3,9,118.884615384615,14.5555555555556,104.32905982906,2,0,0.429824561403509,0.8,9,117.923076923077,13.9444444444444,103.978632478632,3,0,0.429824561403509,0.8,FALSE
"37",37,10,3,10,118.884615384615,10.5555555555556,108.32905982906,3,0,0.412280701754386,0.793846153846154,10,117.923076923077,11.3333333333333,106.589743589744,3,0,0.271929824561404,0.744615384615385,TRUE
"38",38,11,3,11,118.884615384615,9.72222222222222,109.162393162393,2,0,0.394736842105263,0.787692307692308,11,117.923076923077,7.70833333333333,110.214743589744,2,0,0.342105263157895,0.769230769230769,TRUE
"39",39,12,3,12,118.884615384615,8.92857142857143,109.956043956044,2,0,0.280701754385965,0.747692307692308,12,117.923076923077,5.96666666666667,111.95641025641,2,0,0.210526315789474,0.723076923076923,TRUE
"40",40,13,3,13,118.884615384615,5.63333333333333,113.251282051282,3,0,0.192982456140351,0.716923076923077,13,117.923076923077,4.46666666666667,113.45641025641,2,0,0.201754385964912,0.72,TRUE
"41",41,14,3,14,118.884615384615,4.63333333333333,114.251282051282,2,0,0.184210526315789,0.713846153846154,14,117.923076923077,3.63333333333333,114.289743589744,2,0,0.184210526315789,0.713846153846154,FALSE
"42",42,15,3,15,118.884615384615,3.13333333333333,115.751282051282,2,0,0.175438596491228,0.710769230769231,15,117.923076923077,3.3,114.623076923077,2,0,0.166666666666667,0.707692307692308,TRUE
"43",43,2,4,2,118.884615384615,102.85,16.0346153846157,1,0,0.444954128440367,0.627692307692308,2,117.923076923077,101.9,16.0230769230773,1,0,0.444954128440367,0.627692307692308,FALSE
"44",44,3,4,3,118.884615384615,68.8636363636359,50.0209790209795,2,0,0.445378151260504,0.593846153846154,3,117.923076923077,66.7564102564102,51.1666666666667,2,0,0.451428571428571,0.704615384615385,TRUE
"45",45,4,4,4,118.884615384615,74.5192307692308,44.3653846153846,2,0,0.843478260869565,0.944615384615385,4,117.923076923077,64.3636363636359,53.559440559441,2,0,0.436974789915966,0.587692307692308,TRUE
"46",46,5,4,5,118.884615384615,45.7549019607842,73.1297134238311,2,0,0.526315789473684,0.750769230769231,5,117.923076923077,41.9999999999999,75.923076923077,2,0,0.620481927710843,0.806153846153846,TRUE
"47",47,6,4,6,118.884615384615,35.1904761904762,83.6941391941392,2,0,0.42,0.732307692307692,6,117.923076923077,29.6363636363636,88.2867132867133,2,0,0.5,0.790769230769231,TRUE
"48",48,7,4,7,118.884615384615,22.0833333333333,96.801282051282,2,0,0.684210526315789,0.889230769230769,7,117.923076923077,21.4166666666667,96.5064102564102,2,0,0.684210526315789,0.889230769230769,FALSE
"49",49,8,4,8,118.884615384615,17.0333333333333,101.851282051282,2,0,0.508771929824561,0.827692307692308,8,117.923076923077,17.5833333333333,100.339743589744,2,0,0.666666666666667,0.883076923076923,TRUE
"50",50,9,4,9,118.884615384615,14.3333333333333,104.551282051282,2,0,0.324561403508772,0.763076923076923,9,117.923076923077,13.6666666666667,104.25641025641,2,0,0.324561403508772,0.763076923076923,FALSE
"51",51,10,4,10,118.884615384615,14.9285714285714,103.956043956044,2,0,0.307017543859649,0.756923076923077,10,117.923076923077,13.6363636363636,104.286713286713,2,0,0.552631578947368,0.843076923076923,TRUE
"52",52,11,4,11,118.884615384615,14.4285714285714,104.456043956044,2,0,0.298245614035088,0.753846153846154,11,117.923076923077,10.4285714285714,107.494505494505,3,0,0.289473684210526,0.750769230769231,TRUE
"53",53,12,4,12,118.884615384615,11.1111111111111,107.773504273504,2,0,0.394736842105263,0.787692307692308,12,117.923076923077,6.875,111.048076923077,2,0,0.324561403508772,0.763076923076923,TRUE
"54",54,13,4,13,118.884615384615,5.63333333333333,113.251282051282,3,0,0.192982456140351,0.716923076923077,13,117.923076923077,6.375,111.548076923077,2,0,0.315789473684211,0.76,TRUE
"55",55,14,4,14,118.884615384615,5.13333333333333,113.751282051282,2,0,0.184210526315789,0.713846153846154,14,117.923076923077,3.63333333333333,114.289743589744,2,0,0.184210526315789,0.713846153846154,FALSE
"56",56,15,4,15,118.884615384615,3.8,115.084615384615,2,0,0.166666666666667,0.707692307692308,15,117.923076923077,4.3,113.623076923077,2,0,0.175438596491228,0.710769230769231,TRUE
"57",57,2,5,2,118.884615384615,85.2800000000001,33.6046153846153,1,0,0.348684210526316,0.390769230769231,2,117.923076923077,84.3200000000001,33.6030769230768,1,0,0.348684210526316,0.390769230769231,FALSE
"58",58,3,5,3,118.884615384615,68.8636363636359,50.0209790209795,2,0,0.445378151260504,0.593846153846154,3,117.923076923077,68.1969696969693,49.7261072261076,2,0,0.445378151260504,0.593846153846154,FALSE
"59",59,4,5,4,118.884615384615,61,57.8846153846154,2,0,0.607843137254902,0.815384615384615,4,117.923076923077,56.4166666666666,61.5064102564103,2,0,0.63855421686747,0.815384615384615,TRUE
"60",60,5,5,5,118.884615384615,41.9358974358975,76.9487179487179,2,0,0.731707317073171,0.898461538461538,5,117.923076923077,43.8525641025641,74.0705128205128,2,0,0.815789473684211,0.935384615384615,TRUE
"61",61,6,5,6,118.884615384615,36.3125,82.5721153846154,2,0,0.57516339869281,0.8,6,117.923076923077,29.4358974358975,88.4871794871795,2,0,0.789473684210526,0.926153846153846,TRUE
"62",62,7,5,7,118.884615384615,24.6969696969697,94.1876456876457,2,0,0.596491228070175,0.858461538461538,7,117.923076923077,21.4166666666667,96.5064102564102,3,0,0.684210526315789,0.889230769230769,TRUE
"63",63,8,5,8,118.884615384615,20.7619047619048,98.1227106227106,1,0,0.350877192982456,0.772307692307692,8,117.923076923077,16.3666666666667,101.55641025641,3,0,0.508771929824561,0.827692307692308,TRUE
"64",64,9,5,9,118.884615384615,14.969696969697,103.914918414918,3,0,0.570175438596491,0.849230769230769,9,117.923076923077,12.5333333333333,105.389743589744,3,0,0.491228070175439,0.821538461538462,TRUE
"65",65,10,5,10,118.884615384615,10.5555555555556,108.32905982906,2,0,0.412280701754386,0.793846153846154,10,117.923076923077,13.6363636363636,104.286713286713,2,0,0.552631578947368,0.843076923076923,TRUE
"66",66,11,5,11,118.884615384615,8.73333333333333,110.151282051282,3,0,0.263157894736842,0.741538461538462,11,117.923076923077,10.4285714285714,107.494505494505,2,0,0.289473684210526,0.750769230769231,TRUE
"67",67,12,5,12,118.884615384615,6.46666666666667,112.417948717949,2,0,0.210526315789474,0.723076923076923,12,117.923076923077,6.66666666666667,111.25641025641,3,0,0.236842105263158,0.732307692307692,TRUE
"68",68,13,5,13,118.884615384615,5.63333333333333,113.251282051282,3,0,0.192982456140351,0.716923076923077,13,117.923076923077,4.96666666666667,112.95641025641,3,0,0.201754385964912,0.72,TRUE
"69",69,14,5,14,118.884615384615,4.83333333333333,114.051282051282,2,0,0.157894736842105,0.704615384615385,14,117.923076923077,7.13333333333333,110.789743589744,2,0,0.184210526315789,0.713846153846154,TRUE
"70",70,15,5,15,118.884615384615,3.13333333333333,115.751282051282,2,0,0.175438596491228,0.710769230769231,15,117.923076923077,3.5,114.423076923077,2,0,0.140350877192982,0.698461538461538,TRUE
"71",71,2,6,2,118.884615384615,85.2800000000001,33.6046153846153,1,0,0.348684210526316,0.390769230769231,2,117.923076923077,84.3200000000001,33.6030769230768,1,0,0.348684210526316,0.390769230769231,FALSE
"72",72,3,6,3,118.884615384615,68.8636363636359,50.0209790209795,2,0,0.445378151260504,0.593846153846154,3,117.923076923077,66.9090909090906,51.0139860139863,2,0,0.29811320754717,0.427692307692308,TRUE
"73",73,4,6,4,118.884615384615,57.0833333333332,61.8012820512822,2,0,0.63855421686747,0.815384615384615,4,117.923076923077,55.2156862745097,62.7073906485672,3,0,0.560240963855422,0.775384615384615,TRUE
"74",74,5,6,5,118.884615384615,46.5416666666667,72.3429487179487,2,0,0.352941176470588,0.729230769230769,5,117.923076923077,47.4102564102564,70.5128205128205,2,0,0.38,0.713846153846154,TRUE
"75",75,6,6,6,118.884615384615,30.1025641025641,88.7820512820513,2,0,0.789473684210526,0.926153846153846,6,117.923076923077,29.4358974358975,88.4871794871795,2,0,0.789473684210526,0.926153846153846,FALSE
"76",76,7,6,7,118.884615384615,27.8666666666667,91.0179487179487,2,0,0.506666666666667,0.772307692307692,7,117.923076923077,27.2083333333333,90.7147435897436,2,0,0.310077519379845,0.726153846153846,TRUE
