"","ID","Epsilon","MinPts","Epsilon_identify","TotalCluster_Charles","TotalOutliers_Charles","Jaccard_Charles","Rand_Charles","TotalCluster_Hanam","TotalOutliers_Hanam","Jaccard_Hanam","Rand_Hanam","Has_Result_Diff"
"31",31,0.3,13,0.3,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"32",32,0.3,14,0.3,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"33",33,0.3,15,0.3,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"34",34,0.3,16,0.3,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"35",35,0.3,17,0.3,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"36",36,0.3,18,0.3,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"37",37,0.3,19,0.3,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"38",38,0.3,20,0.3,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"39",39,0.5,2,0.5,2,17,0.278048780487805,0.544615384615385,2,17,0.278048780487805,0.544615384615385,FALSE
"40",40,0.5,3,0.5,2,17,0.278048780487805,0.544615384615385,2,17,0.278048780487805,0.544615384615385,FALSE
"41",41,0.5,4,0.5,2,17,0.278048780487805,0.544615384615385,2,17,0.278048780487805,0.544615384615385,FALSE
"42",42,0.5,5,0.5,1,21,0.392405063291139,0.556923076923077,1,21,0.392405063291139,0.556923076923077,FALSE
"43",43,0.5,6,0.5,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"44",44,0.5,7,0.5,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"45",45,0.5,8,0.5,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"46",46,0.5,9,0.5,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"47",47,0.5,10,0.5,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"48",48,0.5,11,0.5,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"49",49,0.5,12,0.5,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"50",50,0.5,13,0.5,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"51",51,0.5,14,0.5,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"52",52,0.5,15,0.5,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"53",53,0.5,16,0.5,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"54",54,0.5,17,0.5,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"55",55,0.5,18,0.5,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"56",56,0.5,19,0.5,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"57",57,0.5,20,0.5,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"58",58,0.7,2,0.7,2,17,0.278048780487805,0.544615384615385,2,17,0.278048780487805,0.544615384615385,FALSE
"59",59,0.7,3,0.7,2,17,0.278048780487805,0.544615384615385,2,17,0.278048780487805,0.544615384615385,FALSE
"60",60,0.7,4,0.7,2,17,0.278048780487805,0.544615384615385,2,17,0.278048780487805,0.544615384615385,FALSE
"61",61,0.7,5,0.7,1,21,0.392405063291139,0.556923076923077,1,21,0.392405063291139,0.556923076923077,FALSE
"62",62,0.7,6,0.7,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"63",63,0.7,7,0.7,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"64",64,0.7,8,0.7,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"65",65,0.7,9,0.7,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
