ClusterID; BCTs; BasicChanges; Complexity; ProjectCount; Instances; ContainsInstances
148 ; RESERVED:CONDITION:INSERTED:global:eq:1.0 , METHOD:METHOD_CALL:INSERTED:global:indexOf:1.0 , RESERVED:CONDITION:INSERTED:global:typeof:1.0 ; 3 ; 2 ; 1 ; 5 ; 13826, 13877, 15832, 23789, 12895
149 ; RESERVED:STATEMENT:INSERTED:global:var:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:ASSIGNMENT_RHS:INSERTED:global:true:1.0 , RESERVED:ASSIGNMENT_RHS:INSERTED:global:false:1.0 ; 4 ; 3 ; 8 ; 8 ; 41504, 117669, 59094, 16793, 28539, 10349, 64317, 54063
150 ; RESERVED:CONDITION:INSERTED:global:sheq:2.0 ; 1 ; 3 ; 15 ; 23 ; 29344, 58048, 20674, 77538, 72518, 18090, 98186, 117770, 97964, 21551, 97166, 18864, 124659, 59667, 99762, 19860, 121524, 121876, 70135, 98744, 31675, 28957, 42845
151 ; RESERVED:STATEMENT:UPDATED:global:var:1.0 ; 1 ; 2 ; 6 ; 19 ; 71201, 129408, 70722, 79621, 117830, 36040, 35721, 36073, 34926, 35662, 59791, 34738, 35380, 34902, 30903, 35640, 34779, 35934, 68190
152 ; RESERVED:CONDITION:INSERTED:global:sheq:1.0 , RESERVED:STATEMENT:INSERTED:global:return:1.0 , RESERVED:CONDITION:INSERTED:global:typeof:1.0 ; 3 ; 2 ; 9 ; 11 ; 47008, 67473, 117920, 18978, 48756, 123301, 5333, 30597, 119588, 39910, 39930
153 ; RESERVED:CONDITION:INSERTED:global:typeof:1.0 ; 1 ; 1 ; 11 ; 14 ; 19780, 59845, 52232, 126153, 56329, 15946, 129804, 10766, 125201, 124211, 6195, 46035, 18517, 83962
154 ; RESERVED:CONDITION:INSERTED:global:sheq:1.0 , RESERVED:STATEMENT:INSERTED:global:var:1.0 ; 2 ; 3 ; 8 ; 11 ; 1027, 21380, 59668, 63081, 66472, 21338, 4971, 127722, 118189, 125005, 72783
155 ; RESERVED:ASSIGNMENT_RHS:REMOVED:global:false:1.0 , RESERVED:ASSIGNMENT_RHS:INSERTED:global:true:1.0 , RESERVED:STATEMENT:UPDATED:global:var:1.0 ; 3 ; 1 ; 5 ; 9 ; 29713, 90528, 118352, 92360, 92171, 55772, 72301, 91422, 92318
156 ; RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:CONDITION:REMOVED:global:falsey:2.0 ; 2 ; 2 ; 5 ; 7 ; 4240, 124372, 115320, 54906, 108075, 123850, 118383
157 ; RESERVED:EXPRESSION:INSERTED:global:this:1.0 ; 1 ; 1 ; 8 ; 8 ; 36355, 118722, 32616, 22010, 74363, 83675, 11838, 23806
158 ; METHOD:METHOD_CALL:INSERTED:global:sort:1.0 ; 1 ; 3 ; 4 ; 5 ; 70855, 61866, 61867, 118783, 63855
159 ; RESERVED:ARGUMENT:INSERTED:global:typeof:1.0 ; 1 ; 1 ; 4 ; 5 ; 118881, 46226, 18837, 58761, 54684
160 ; RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:ASSIGNMENT_RHS:INSERTED:global:null:1.0 ; 2 ; 2 ; 6 ; 8 ; 119233, 13153, 13154, 127461, 119316, 53624, 55704, 33439
161 ; RESERVED:CONDITION:INSERTED:global:sheq:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:2.0 ; 2 ; 1 ; 6 ; 6 ; 119617, 12802, 128723, 13944, 65980, 120940
162 ; RESERVED:CONDITION:REMOVED:global:typeof:1.0 , RESERVED:CONDITION:INSERTED:global:typeof:1.0 ; 2 ; 1 ; 6 ; 10 ; 55761, 30851, 54293, 96967, 91160, 119752, 89162, 33052, 35277, 126462
163 ; RESERVED:PARAMETER_DECLARATION:REMOVED:global:callback:1.0 ; 1 ; 1 ; 6 ; 7 ; 19872, 30020, 119943, 122711, 31688, 69497, 76349
164 ; RESERVED:STATEMENT:INSERTED:global:try:1.0 , RESERVED:STATEMENT:INSERTED:global:return:1.0 , RESERVED:EXCEPTION_CATCH:INSERTED:global:error:1.0 ; 3 ; 3 ; 5 ; 5 ; 120117, 130533, 49223, 40329, 46554
165 ; RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:ASSIGNMENT_RHS:INSERTED:global:true:1.0 , RESERVED:ASSIGNMENT_RHS:INSERTED:global:false:1.0 , RESERVED:STATEMENT:UPDATED:global:var:1.0 ; 4 ; 3 ; 3 ; 5 ; 79472, 120162, 74695, 79689, 81512
166 ; RESERVED:ASSIGNMENT_RHS:INSERTED:global:this:1.0 ; 1 ; 1 ; 11 ; 17 ; 120257, 76418, 12965, 76423, 64744, 76137, 64748, 54669, 102479, 70707, 122707, 33080, 62009, 25372, 2271, 57567, 57919
167 ; RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:CONDITION:UPDATED:global:falsey:1.0 ; 2 ; 1 ; 4 ; 5 ; 120292, 103270, 52329, 83099, 129295
168 ; RESERVED:METHOD_CALL:REMOVED:global:this:2.0 ; 1 ; 2 ; 5 ; 6 ; 16881, 120564, 22935, 33272, 8700, 74572
169 ; RESERVED:STATEMENT:INSERTED:global:return:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:CONDITION:REMOVED:global:falsey:1.0 ; 3 ; 3 ; 6 ; 6 ; 86976, 120578, 7655, 104120, 59326, 72047
170 ; RESERVED:CONDITION:INSERTED:global:sheq:1.0 , RESERVED:CONDITION:INSERTED:global:typeof:1.0 , RESERVED:STATEMENT:UPDATED:global:var:1.0 ; 3 ; 2 ; 8 ; 10 ; 32720, 68353, 64770, 58179, 125250, 122884, 120775, 120902, 88552, 120778
171 ; FIELD:EXPRESSION:INSERTED:global:length:1.0 ; 1 ; 2 ; 10 ; 13 ; 81920, 70691, 13187, 59843, 45386, 22156, 3342, 27662, 16887, 22167, 120824, 20602, 70684
172 ; RESERVED:ASSIGNMENT_RHS:INSERTED:global:true:1.0 , RESERVED:ASSIGNMENT_RHS:INSERTED:global:false:1.0 ; 2 ; 1 ; 7 ; 8 ; 52928, 45266, 32549, 34757, 121044, 83143, 85547, 9279
173 ; RESERVED:METHOD_CALL:INSERTED:global:this:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 ; 2 ; 2 ; 11 ; 11 ; 13728, 34545, 122723, 50804, 25781, 51525, 106916, 63384, 78141, 121516, 42447
174 ; RESERVED:METHOD_CALL:INSERTED:global:callback:1.0 , RESERVED:STATEMENT:INSERTED:global:return:1.0 , RESERVED:ARGUMENT:INSERTED:global:null:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 ; 4 ; 2 ; 4 ; 6 ; 10881, 124327, 63672, 124233, 121658, 21407
175 ; RESERVED:CONDITION:INSERTED:global:sheq:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:CONDITION:REMOVED:global:falsey:1.0 ; 3 ; 1 ; 2 ; 5 ; 18883, 123746, 122309, 122214, 121752
176 ; RESERVED:ARGUMENT:INSERTED:global:this:1.0 , METHOD:METHOD_CALL:INSERTED:global:bind:1.0 ; 2 ; 1 ; 6 ; 9 ; 24930, 25123, 67346, 122034, 42100, 25173, 24828, 12495, 47295
