ClusterID; BCTs; BasicChanges; Complexity; ProjectCount; Instances; ContainsInstances
20 ; RESERVED:METHOD_CALL:INSERTED:global:callback:1.0 , RESERVED:STATEMENT:INSERTED:global:return:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 ; 3 ; 2 ; 4 ; 13 ; 117281, 104320, 97257, 13449, 125835, 75759, 123861, 127157, 123607, 120125, 125119, 128031, 100734
21 ; RESERVED:STATEMENT:INSERTED:global:new:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 ; 2 ; 2 ; 7 ; 12 ; 44176, 127169, 95152, 76498, 83540, 104388, 126868, 106807, 94347, 81053, 28381, 107999
22 ; RESERVED:ARGUMENT:INSERTED:global:error:1.0 , RESERVED:METHOD_CALL:INSERTED:global:callback:1.0 , RESERVED:STATEMENT:INSERTED:global:return:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:CONDITION:INSERTED:global:error:1.0 ; 5 ; 2 ; 4 ; 5 ; 116291, 121170, 104392, 95725, 121375
23 ; RESERVED:STATEMENT:INSERTED:global:return:1.0 , RESERVED:CONDITION:INSERTED:global:null:1.0 , RESERVED:CONDITION:INSERTED:global:typeof:1.0 ; 3 ; 2 ; 6 ; 10 ; 108736, 41876, 104404, 76648, 125547, 124314, 139081, 75565, 98941, 136653
24 ; RESERVED:CONDITION:INSERTED:global:falsey:1.0 , METHOD:METHOD_CALL:INSERTED:global:hasOwnProperty:1.0 ; 2 ; 1 ; 8 ; 11 ; 61104, 69857, 5393, 118613, 108663, 97286, 32986, 66587, 101291, 104410, 122303
25 ; RESERVED:CONDITION:REMOVED:global:falsey:1.0 ; 1 ; 2 ; 48 ; 180 ; 14082, 130051, 37123, 135174, 132615, 28678, 45319, 76550, 116742, 62728, 65288, 111369, 121097, 132104, 81162, 110858, 136461, 43026, 131088, 46099, 65554, 82965, 106007, 78614, 77081, 130328, 38170, 124701, 139294, 25373, 72735, 99614, 131616, 104486, 128810, 17453, 92204, 128815, 131372, 124721, 126512, 35890, 96819, 25397, 104756, 130868, 131127, 67385, 86329, 25657, 123960, 102715, 116026, 109631, 7747, 60483, 65602, 131143, 18760, 71240, 97611, 27213, 116556, 48208, 96592, 98128, 139600, 92500, 131668, 35162, 26203, 85597, 135263, 35678, 93281, 136291, 59746, 111970, 130405, 86887, 14697, 61546, 123244, 128115, 52851, 14199, 69750, 118902, 127862, 75129, 31353, 116861, 114300, 117377, 65667, 72835, 60547, 49284, 109445, 131463, 78215, 52618, 60810, 128906, 5519, 92817, 86672, 68247, 13976, 130201, 28313, 17818, 74911, 130976, 74914, 133798, 678, 5800, 124584, 82347, 135592, 61106, 13493, 6327, 135354, 31164, 132797, 36545, 48065, 78272, 96448, 121027, 129474, 121285, 75463, 114630, 45768, 97225, 128968, 125386, 136654, 67788, 13774, 137420, 74961, 139217, 13780, 70359, 126679, 132820, 69846, 130006, 75481, 128985, 13786, 24026, 70367, 28639, 61407, 121312, 128485, 69606, 64745, 68584, 109291, 121322, 119788, 96497, 131314, 59377, 32754, 60146, 81138, 123634, 110325, 55287, 132860, 121598, 125438, 133373
26 ; RESERVED:CONDITION:REMOVED:global:sheq:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 ; 2 ; 1 ; 5 ; 8 ; 46192, 16836, 134406, 46181, 17222, 104518, 128589, 134412
27 ; RESERVED:ASSIGNMENT_RHS:REMOVED:global:true:1.0 , RESERVED:STATEMENT:UPDATED:global:var:1.0 ; 2 ; 1 ; 9 ; 11 ; 53552, 83392, 87219, 39060, 116821, 119925, 75956, 87220, 127867, 104730, 58173
28 ; RESERVED:ASSIGNMENT_RHS:REMOVED:global:false:1.0 ; 1 ; 2 ; 18 ; 32 ; 91457, 27971, 83398, 114438, 39882, 94413, 56909, 107980, 14862, 106191, 91219, 46036, 104789, 125333, 91028, 97044, 2710, 51800, 60696, 29657, 54619, 126042, 84387, 7651, 28003, 20650, 101482, 40113, 38706, 6324, 86777, 38525
29 ; RESERVED:ASSIGNMENT_LHS:REMOVED:global:this:1.0 ; 1 ; 1 ; 18 ; 26 ; 128770, 72397, 30157, 56910, 35920, 110673, 118365, 35869, 94364, 34527, 50020, 49957, 103015, 81128, 104812, 87792, 62067, 130805, 23797, 15223, 47544, 81080, 81917, 85372, 118396, 93439
